"hh_id","name","area_name","employer","salary_from","salary_to","salary_currency","experience","schedule","url"
"102735918","Стажер-разработчик","Алматы","Prime Source","100000","150000","KZT","Нет опыта","Полный день","https://hh.ru/vacancy/102735918"
"101871676","Junior Python Django developer","Москва","Протектор",NULL,"120000","RUR","От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/101871676"
"101709026","Стажер-разработчик","Санкт-Петербург","Строй-Отделка","50000",NULL,"RUR","Нет опыта","Полный день","https://hh.ru/vacancy/101709026"
"102569354","QA engineer","Москва","Finch",NULL,"120000","RUR","От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/102569354"
"103108063","Стажёр в отдел разработки","Тула","ЭвоКом",NULL,"45000","RUR","Нет опыта","Полный день","https://hh.ru/vacancy/103108063"
"102785376","Backend Engineer","Гомель","Старт Мэттер",NULL,NULL,NULL,"От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/102785376"
"102971023","Frontend Developer","Москва","Podscribe","3000","5000","USD","От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/102971023"
"101793255","Junior Data Engineer","Астана","KPMG",NULL,NULL,NULL,"Нет опыта","Полный день","https://hh.ru/vacancy/101793255"
"103117496","Python Backend Developer","Москва","AbeloHost B.V.","1200","1700","EUR","От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/103117496"
"103007146","Программист Python","Москва","Offer Now",NULL,"342000","RUR","Нет опыта","Полный день","https://hh.ru/vacancy/103007146"
"102855039","Программист Python (Junior)","Волгоград","Айти - Альбион","30000",NULL,"RUR","Нет опыта","Полный день","https://hh.ru/vacancy/102855039"
"102901125","Младший разработчик (Junior)","Москва","Межрегиональное бухгалтерское управление Федерального казначейства","40000",NULL,"RUR","Нет опыта","Полный день","https://hh.ru/vacancy/102901125"
"102758854","Python разработчик","Москва","Soft Media Group","100000",NULL,"RUR","От 1 года до 3 лет","Гибкий график","https://hh.ru/vacancy/102758854"
"102190248","Стажер IT","Москва","Алгоритмика","40000","40000","RUR","Нет опыта","Полный день","https://hh.ru/vacancy/102190248"
"102778286","Стажер-программист Python","Бор","Гласс Рус","30000","50000","RUR","От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/102778286"
"103061557","Python разработчик","Москва","Московский метрополитен",NULL,NULL,NULL,"От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/103061557"
"103057027","Программист-разработчик Python","Москва","Красное & Белое, розничная сеть","200000",NULL,"RUR","От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/103057027"
"103061156","Разработчик Python","Самара","СамараНИПИнефть","80000","115000","RUR","От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/103061156"
"103040866","Python Backend Developer","Красноярск","Бибинет Софт","75000",NULL,"RUR","От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/103040866"
"95142298","Тестировщик ПО","Москва","Наймикс",NULL,NULL,NULL,"От 3 до 6 лет","Полный день","https://hh.ru/vacancy/95142298"
"101415598","Backend - разработчик","Москва","Ситуационно-Информационный Центр Министерства Транспорта Российской Федерации",NULL,NULL,NULL,"От 3 до 6 лет","Полный день","https://hh.ru/vacancy/101415598"
"101276173","Junior Python разработчик / IT / (удаленно)","Москва","Зерокодер","70000","100000","RUR","От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/101276173"
"101649921","Frontend developer","Москва","Почтатех",NULL,NULL,NULL,"От 3 до 6 лет","Полный день","https://hh.ru/vacancy/101649921"
"102823795","Backend-разработчик (Python)","Санкт-Петербург","ПИКАССО","70000",NULL,"RUR","От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/102823795"
"103145472","Инженер-программист","Минск","Сбер Банк",NULL,NULL,NULL,"От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/103145472"
"103102121","Программист Python","Москва","Сеоес","30000","70000","RUR","От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/103102121"
"102757492","Junior Python-разработчик","Москва","СОГАЗ",NULL,NULL,NULL,"Нет опыта","Полный день","https://hh.ru/vacancy/102757492"
"103075133","Программист Python","Воронеж","Wizart",NULL,NULL,NULL,"От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/103075133"
"102871551","Python разработчик","Петрозаводск","ПК Энергосбережение","80000",NULL,"RUR","От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/102871551"
"102686556","Стажер Back-end разработчика (php, python, c#)","Санкт-Петербург","Nti.team","15000","30000","RUR","Нет опыта","Удаленная работа","https://hh.ru/vacancy/102686556"
"103123216","Python разработчик (Django)","Рязань","Иторум","73500",NULL,"RUR","От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/103123216"
"103033416","Middle QA Engineer","Ростов-на-Дону","Зорра","140000",NULL,"RUR","От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/103033416"
"103054427","Python-разработчик","Новосибирск","TomYumBar",NULL,NULL,NULL,"От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/103054427"
"103035688","Аналитик Данных (Базы данных)","Москва","СберСити",NULL,NULL,NULL,"От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/103035688"
"101651368","Computer Vision Engineer (стажер)","Москва","Платформа Третье Мнение",NULL,NULL,NULL,"Нет опыта","Гибкий график","https://hh.ru/vacancy/101651368"
"102966320","Python backend developer","Минск","КомплИТех",NULL,NULL,NULL,"От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/102966320"
"101260460","Стажер Аналитик Хранилища данных/Инженер по качеству данных","Москва","X5 Tech",NULL,NULL,NULL,"Нет опыта","Полный день","https://hh.ru/vacancy/101260460"
"101744622","Data-аналитик","Москва","Bell Integrator Регионы",NULL,NULL,NULL,"От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/101744622"
"102747276","QA Engineer","Минск","Онилаб",NULL,NULL,NULL,"От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/102747276"
"102359398","Программист C# (Junior)","Москва","РозумСофт","50000","70000","RUR","Нет опыта","Полный день","https://hh.ru/vacancy/102359398"
"103058366","Главный специалист","Ташкент","АИКБ ИПАК ЙУЛИ БАНК",NULL,NULL,NULL,"От 3 до 6 лет","Полный день","https://hh.ru/vacancy/103058366"
"99086642","Junior Game Designer (Balance)","Новосибирск","Matryoshka Games","60000","80000","RUR","Нет опыта","Удаленная работа","https://hh.ru/vacancy/99086642"
"103123174","Php-разработчик","Ташкент","Safia кондитерский дом",NULL,NULL,NULL,"От 3 до 6 лет","Полный день","https://hh.ru/vacancy/103123174"
"102934904","Backend-developer (Python)","Санкт-Петербург","Радиофид","70000",NULL,"RUR","От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/102934904"
"99813356","Стажер Python Back-end (офис)","Москва","Caltat",NULL,NULL,NULL,"Нет опыта","Полный день","https://hh.ru/vacancy/99813356"
"101272377","Аналитик бизнес-процессов","Москва","Кочеткова Анна Михайловна",NULL,"160000","RUR","От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/101272377"
"103126422","Программист-разработчик","Ижевск","Банки Промо","60000","120000","RUR","От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/103126422"
"100858128","Аналитик данных, исследователь (удаленно)","Москва","ВкусВилл",NULL,NULL,NULL,"От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/100858128"
"101265452","Программист Python","Ташкент","YATT YULDASHEV PULAT BAXTIYOROVICH",NULL,"500","USD","От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/101265452"
"102352780","Тестировщик - QA Engineer - Инженер-тестировщик","Москва","Мера",NULL,NULL,NULL,"От 3 до 6 лет","Полный день","https://hh.ru/vacancy/102352780"
"102357457","Python разработчик (Django)","Санкт-Петербург","Stik",NULL,NULL,NULL,"Нет опыта","Гибкий график","https://hh.ru/vacancy/102357457"
"102653226","Junior Python-разработчик","Москва","Космос Про Медиа",NULL,NULL,NULL,"От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/102653226"
"102191917","Python backend developer (Junior/ Junior+)","Москва","ITOB",NULL,NULL,NULL,"От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/102191917"
"103023089","Middle Python разработчик (Django)","Таганрог","Justice IT",NULL,NULL,NULL,"От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/103023089"
"101951553","Trainee/Intern/Junior Python backend developer","Санкт-Петербург","Рекруто","10000","30000","RUR","Нет опыта","Гибкий график","https://hh.ru/vacancy/101951553"
"102699105","Разработчик Python","Москва","НПФ Будущее","190000",NULL,"RUR","От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/102699105"
"103037043","Младший аналитик / ВТБ РОСТ","Санкт-Петербург","Changellenge","100000","100000","RUR","Нет опыта","Полный день","https://hh.ru/vacancy/103037043"
"101798662","Программист-разработчик","Москва","Gybernaty",NULL,NULL,NULL,"От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/101798662"
"102859150","Middle Frontend Developer (React)","Санкт-Петербург","Соломон","170000",NULL,"RUR","От 3 до 6 лет","Полный день","https://hh.ru/vacancy/102859150"
"102211136","Оператор базы данных/Аналитик данных Junior","Москва","EGAR TECHNOLOGY, INC.",NULL,NULL,NULL,"От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/102211136"
"103052068","Стажер","Санкт-Петербург","Газпром нефть",NULL,NULL,NULL,"Нет опыта","Полный день","https://hh.ru/vacancy/103052068"
"101653612","Data Analyst/Аналитик данных (Junior)","Санкт-Петербург","Группа компаний eLama",NULL,NULL,NULL,"Нет опыта","Полный день","https://hh.ru/vacancy/101653612"
"103079813","Chief Data Officer / Head of Data","Москва","ГК ФСК",NULL,NULL,NULL,"Более 6 лет","Полный день","https://hh.ru/vacancy/103079813"
"102478946","Junior Backend Developer (Python и SQL)","Москва","e-Comet","60000","80000","RUR","От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/102478946"
"103069005","Программист в зону поддержки / верстальщик","Санкт-Петербург","Цифра","51000",NULL,"RUR","От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/103069005"
"101904521","Python backend developer","Челябинск","Максимал","120000","180000","RUR","От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/101904521"
"102900633","Middle / senior программист на python","Алматы","Qozhan Consulting",NULL,NULL,NULL,"Нет опыта","Полный день","https://hh.ru/vacancy/102900633"
"102790066","Разработчик Python","Москва","Ростелеком Информационные Технологии",NULL,NULL,NULL,"От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/102790066"
"102773444","Программист-разработчик","Ташкент","KIBERNETIKADA INNOVATSIYALAR IT-PARKI","5000000","6000000","UZS","От 3 до 6 лет","Гибкий график","https://hh.ru/vacancy/102773444"
"102920251","Python разработчик","Астана","Жеті Аспан",NULL,NULL,NULL,"От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/102920251"
"102605379","Тестировщик","Красноярск","IT-парк Питерский мостик","50000","80000","RUR","От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/102605379"
"99174196","Python Developer","Москва","Ред Софт",NULL,NULL,NULL,"От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/99174196"
"102590496","Junoir Python developer","Тбилиси","Emphasoft",NULL,"60000","RUR","Нет опыта","Полный день","https://hh.ru/vacancy/102590496"
"103104014","Стажер-тестировщик (Python QA Automation)","Санкт-Петербург","Nexign (АО Нэксайн)",NULL,NULL,NULL,"Нет опыта","Полный день","https://hh.ru/vacancy/103104014"
"103043781","Junior QA Engineer","Красноярск","ФГБУ Рослесинфорг","65000",NULL,"RUR","От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/103043781"
"103140905","Стажёр/продуктовый аналитик","Москва","Альфа-Банк",NULL,NULL,NULL,"Нет опыта","Удаленная работа","https://hh.ru/vacancy/103140905"
"98790577","QA-engineer","Москва","YCLIENTS LLC",NULL,NULL,NULL,"От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/98790577"
"101787332","Программист","Уфа","Бот Конструктор БК","120000","215000","RUR","От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/101787332"
"103022865","Frontend-разработчик (React/Next.js)","Санкт-Петербург","РБК","210000","240000","RUR","От 3 до 6 лет","Удаленная работа","https://hh.ru/vacancy/103022865"
"99024718","Аналитик","Москва","Синимекс",NULL,NULL,NULL,"От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/99024718"
"103044779","Middle frontend‑разработчик в веб-студию","Екатеринбург","Контур",NULL,NULL,NULL,"От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/103044779"
"98607648","Аналитик Excel","Москва","OptiTeam",NULL,NULL,NULL,"От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/98607648"
"103074054","Тестировщик/Manual QA","Москва","ВсеИнструменты.ру",NULL,NULL,NULL,"От 3 до 6 лет","Удаленная работа","https://hh.ru/vacancy/103074054"
"102670308","Middle QA Manual (Цифровой рубль)","Москва","МТС Финтех",NULL,NULL,NULL,"От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/102670308"
"101652555","Data analyst (стажер)","Москва","Платформа Третье Мнение",NULL,NULL,NULL,"Нет опыта","Гибкий график","https://hh.ru/vacancy/101652555"
"103111827","Начальник отдела аналитики","Москва","Ростелеком - Центры обработки данных",NULL,NULL,NULL,"От 3 до 6 лет","Полный день","https://hh.ru/vacancy/103111827"
"101735794","Golang разработчик (junior)","Москва","Softweather",NULL,NULL,NULL,"От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/101735794"
"101881373","Младший программист C#","Санкт-Петербург","ЛС-Технологии",NULL,NULL,NULL,"От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/101881373"
"101413618","Software Development Engineer in Test","Санкт-Петербург","Аурига",NULL,NULL,NULL,"От 3 до 6 лет","Полный день","https://hh.ru/vacancy/101413618"
"102376188","Python-разработчик","Москва","Сбер Бизнес Софт",NULL,NULL,NULL,"От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/102376188"
"101615022","Тестировщик / Manual QA Engineer","Санкт-Петербург","Эстелинк","80000","130000","RUR","От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/101615022"
"101077785","Разработчик Python / Django","Москва","AlfaBit","100000","250000","RUR","От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/101077785"
"103112068","Content Developer (Python)","Москва","Lesta Games",NULL,NULL,NULL,"От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/103112068"
"101862099","Machine learning Engineer","Москва","Инфотек","40000",NULL,"RUR","Нет опыта","Полный день","https://hh.ru/vacancy/101862099"
"101924080","Специалист технической поддержки","Москва","Иксстек",NULL,NULL,NULL,"От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/101924080"
"103042705","Программист Backend","Москва","А101",NULL,NULL,NULL,"От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/103042705"
"101876679","Cпециалист по тестированию ПО (ручное/интеграционное тестирование) в компанию Консул Прайм","Москва","Центр Сервис",NULL,NULL,NULL,"От 3 до 6 лет","Полный день","https://hh.ru/vacancy/101876679"
"101917777","Junior Python разработчик","Санкт-Петербург","Виста","60000",NULL,"RUR","От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/101917777"
"101377787","Стажер-аналитик","Москва","Bewise.ai",NULL,"35000","RUR","Нет опыта","Удаленная работа","https://hh.ru/vacancy/101377787"
"101169358","Junior - разработчик","Москва","Media 108","80000","90000","RUR","От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/101169358"
"101875453","Инженер систем мониторинга","Москва","Комс","130000",NULL,"RUR","От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/101875453"
"102910748","Тестировщик ПО/QA engineer","Москва","РТСофт",NULL,NULL,NULL,"От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/102910748"
"103031163","QA Engineer / Тестировщик ПО","Таганрог","Justice IT",NULL,NULL,NULL,"От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/103031163"
"103057967","Middle Python разработчик","Москва","Hi, Rockits!",NULL,NULL,NULL,"От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/103057967"
"103127642","Middle Python Разработчик","Алматы","Bank RBK",NULL,NULL,NULL,"От 3 до 6 лет","Полный день","https://hh.ru/vacancy/103127642"
"98460540","Junior Data Scientist","Тамбов","Гибрид",NULL,"80000","RUR","От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/98460540"
"102818859","Python developer","Уфа","КОМТЕК","60000","130000","RUR","От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/102818859"
"102406397","Python разработчик","Москва","Avalon-IT",NULL,"300000","RUR","От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/102406397"
"102818868","Python developer","Барнаул","КОМТЕК","60000","130000","RUR","От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/102818868"
"102856743","Заместитель начальника Управления информационных технологий","Москва","Федеральная корпорация по развитию малого и среднего предпринимательства (АО Корпорация «МСП»)",NULL,NULL,NULL,"От 3 до 6 лет","Полный день","https://hh.ru/vacancy/102856743"
"103022474","Backend developer (Python)","Екатеринбург","Doubletapp",NULL,"150000","RUR","От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/103022474"
"102774074","Data Engineer / Дата-инженер","Москва","Карпов Курсес",NULL,NULL,NULL,"Нет опыта","Удаленная работа","https://hh.ru/vacancy/102774074"
"102873004","IT Analyst","Москва","BMW",NULL,NULL,NULL,"От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/102873004"
"102456688","Middle Python разработчик (Aiohttp)","Москва","Мамаева Ирина Анатольевна",NULL,"235000","RUR","От 3 до 6 лет","Удаленная работа","https://hh.ru/vacancy/102456688"
"102716006","Инженер по тестированию","Москва","Компэл","120000","250000","RUR","От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/102716006"
"102796434","Python developer","Москва","Группа НЛМК",NULL,NULL,NULL,"От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/102796434"
"102924206","Разработчик Python","Санкт-Петербург","Филиал в г. Санкт-Петербург АО Концерн Радиостроения Вега",NULL,"150000","RUR","От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/102924206"
"102978103","Программист-стажер в инвестиционный фонд","Санкт-Петербург","Smit&Co","50000",NULL,"RUR","Нет опыта","Удаленная работа","https://hh.ru/vacancy/102978103"
"102810130","Программист","Москва","ГУФССП России по Московской области","50000","90000","RUR","Нет опыта","Полный день","https://hh.ru/vacancy/102810130"
"101269067","Junior Django developer","Санкт-Петербург","СИКСХЭНДС","60000","100000","RUR","От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/101269067"
"102374860","Тестировщик (QA)","Москва","Reshape Analytics","90000","110000","RUR","От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/102374860"
"102844113","Стажер в Управление Информационной Безопасности","Москва","Лаборатория Касперского",NULL,NULL,NULL,"Нет опыта","Полный день","https://hh.ru/vacancy/102844113"
"102765486","Python developer","Москва","Ростелеком - Центры обработки данных",NULL,NULL,NULL,"От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/102765486"
"102648555","Python разработчик","Астана","TargetAI Limited","800000","1300000","KZT","От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/102648555"
"102698995","Junior / Pre-middle Python Developer","Оренбург","Шлыков Станислав Игоревич","40000","60000","RUR","От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/102698995"
"102763090","Верстальщик","Санкт-Петербург","Атлас Медиабаинг","60000","80000","RUR","От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/102763090"
"102181458","QA инженер","Москва","ДАТАДВАНС",NULL,NULL,NULL,"От 3 до 6 лет","Полный день","https://hh.ru/vacancy/102181458"
"102188451","[Удаленно] Продуктовый Аналитик","Москва","JackPoker",NULL,NULL,NULL,"От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/102188451"
"102193216","Программист Python","Минск","Джей Эс Глобал",NULL,NULL,NULL,"От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/102193216"
"101261194","Стажер разработки мобильного приложения","Астана","ЧК INTELLIGENCE SYSTEMS LTD.",NULL,NULL,NULL,"Нет опыта","Полный день","https://hh.ru/vacancy/101261194"
"103149482","Data Analyst (Стажёр)","Москва","МегаФон",NULL,NULL,NULL,"Нет опыта","Гибкий график","https://hh.ru/vacancy/103149482"
"100502794","Python developer","Москва","Анлимитед Продакшен",NULL,NULL,NULL,"От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/100502794"
"102760969","Глава ФРК (Маркетинг)","Москва","Алгоритмика",NULL,"400000","RUR","От 3 до 6 лет","Полный день","https://hh.ru/vacancy/102760969"
"102922265","ML-инженер","Санкт-Петербург","Сапсан",NULL,"200000","RUR","От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/102922265"
"103018573","BI разработчик","Астана","Freedom Telecom Operations",NULL,NULL,NULL,"От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/103018573"
"101786095","Backend dasturchisi (Python/Django)","Ташкент","SAIDOFF",NULL,NULL,NULL,"От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/101786095"
"102196854","Junior Data Analyst","Санкт-Петербург","Valiotti Analytics",NULL,NULL,NULL,"От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/102196854"
"102742641","Python разработчик","Москва","Московский метрополитен",NULL,NULL,NULL,"От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/102742641"
"102932679","Middle+ Qa Engineer","Москва","JSA Group",NULL,NULL,NULL,"От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/102932679"
"103080840","ML Engineer / Data Scientist","Москва","ГК ФСК",NULL,NULL,NULL,"От 1 года до 3 лет","Удаленная работа","https://hh.ru/vacancy/103080840"
"102586055","Middle/Middle+ Backend разработчик (Python)","Москва","Эко-мед-ИС","130000",NULL,"RUR","От 3 до 6 лет","Полный день","https://hh.ru/vacancy/102586055"
"102796436","Frontend разработчик","Минск","ИнфоКод",NULL,NULL,NULL,"От 3 до 6 лет","Гибкий график","https://hh.ru/vacancy/102796436"
"102865802","Web-программист","Санкт-Петербург","Калкулэйт","120000","150000","RUR","От 1 года до 3 лет","Полный день","https://hh.ru/vacancy/102865802"
"103036433","Младший аналитик-стажер / ВТБ РОСТ","Москва","Changellenge","100000","100000","RUR","Нет опыта","Полный день","https://hh.ru/vacancy/103036433"
